***** Bayesian optimization *****
Parameters settings:
[{'name': 'dropout', 'type': 'continuous', 'domain': (0.0, 0.9), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'kernel_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'bias_reg', 'type': 'continuous', 'domain': (0.0, 0.02), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'float'>}, {'name': 'batch_norm', 'type': 'categorical', 'domain': (0, 1), 'domain_v': (True, False), 'dimensionality': 1, 'cast': None}, {'name': 'batch_size', 'type': 'discrete', 'domain': (64, 128, 256), 'domain_v': None, 'dimensionality': 1, 'cast': <class 'int'>}]
*********************************
Best score: 0.6201649425265502
Best params: {'dropout': 0.1846992946549152, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 64}
*********************************

Runs:
0.6314137539512868: {'dropout': 0.08412944307866806, 'kernel_reg': 0.0, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.8763572800409137: {'dropout': 0.1836954871183432, 'kernel_reg': 0.02, 'bias_reg': 0.018401409292493905, 'batch_norm': False, 'batch_size': 256}
0.700348770995867: {'dropout': 0.5780870655797887, 'kernel_reg': 0.0, 'bias_reg': 0.007806204995567904, 'batch_norm': False, 'batch_size': 256}
0.633029857793205: {'dropout': 0.07636816911230762, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 256}
0.8884593267993584: {'dropout': 0.02250315118517291, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 128}
0.845993462749301: {'dropout': 0.07703255163868579, 'kernel_reg': 0.02, 'bias_reg': 0.018074082431509923, 'batch_norm': True, 'batch_size': 256}
0.8588496372865806: {'dropout': 0.20974946653387078, 'kernel_reg': 0.02, 'bias_reg': 0.02, 'batch_norm': True, 'batch_size': 256}
0.6446557903313022: {'dropout': 0.07787026455208404, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 128}
0.6356989466383349: {'dropout': 0.10649532257669285, 'kernel_reg': 0.0, 'bias_reg': 0.0, 'batch_norm': True, 'batch_size': 256}
1.0540181762348775: {'dropout': 0.5109190034882117, 'kernel_reg': 0.02, 'bias_reg': 0.0, 'batch_norm': False, 'batch_size': 256}
